ActivateAudioSlowmoMode	Below is a list of modes and their respective hashes.\n\n| Mode (string)               | Hash               |\n|-----------------------------|--------------------|\n| SLOWMO_BIG_SCORE_JUMP       | 0x2B981B0C         |\n| JSH_EXIT_TUNNEL_SLOWMO      | 0x2562AA6          |\n| SLOW_MO_METH_HOUSE_RAYFIRE  | 0xDB9E1909         |\n| SLOWMO_FIB4\\_TRUCK_SMASH     | 0x9E144347         |\n| SLOWMO_PROLOGUE_VAULT       | 0xEA2E68E1         |\n| SLOWMO_T1\\_RAYFIRE_EXPLOSION | 0xD6D358F3         |\n| SLOWMO_T1\\_TRAILER_SMASH     | 0xBE607345         |\n| BARRY\\_01\\_SLOWMO             | 0xD59540D4         |\n| BARRY\\_02\\_SLOWMO             | 0x12F140B3         |\n| SLOWMO_EXTREME\\_04           | 0xF562EA50         |\n| NIGEL\\_02\\_SLOWMO_SETTING     | 0x384689B0         |\n\n**Parameters**\n- `mode`: A string indicating the audio slow motion mode to use, *see the table*.
GetLiveryName	```\nSecond Param = LiveryIndex  \nexample   \nint count = VEHICLE::GET_VEHICLE_LIVERY_COUNT(veh);  \nfor (int i = 0; i < count; i++)    \n {  \nchar* LiveryName = VEHICLE::GET_LIVERY_NAME(veh, i);  \n }  \nthis example will work fine to fetch all names   \nfor example for Sanchez we get   \nSANC_LV1  \nSANC_LV2  \nSANC_LV3  \nSANC_LV4  \nSANC_LV5  \nUse _GET_LABEL_TEXT, to get the localized livery name.  \n-----------  \nNOTE: You may need to set the vehicle's modKit to 0 by using this function: SET_VEHICLE_MOD_KIT() before getting the name, otherwise this native may return NULL.  \ndev-c.com/nativedb/func/info/1f2aa07f00b3217a  \n```
GetLocalPlayerAimState	Returns the local player's targeting mode. See [`SET_PLAYER_TARGETING_MODE`](#\\_0xB1906895227793F3).
GetLocalPlayerAimState_2	```\nSame behavior as GET_LOCAL_PLAYER_AIM_STATE but only used on the PC version.  \n```
GetLocalTime	```\nGets local system time as year, month, day, hour, minute and second.  \nExample usage:  \nint year;  \nint month;  \nint day;  \nint hour;  \nint minute;  \nint second;  \nor use std::tm struct  \nTIME::GET_LOCAL_TIME(&year, &month, &day, &hour, &minute, &second);  \n```
GetMakeNameFromVehicleModel	Retrieves the manufacturer's name for a specified vehicle.\n\n```\nNativeDB Introduced: v1868\n```\n\n**Parameters**\n- `modelHash`: The model hash of the vehicle.\n\n**Returns** Returns the display label of the manufacturer if the vehicle model is recognized, or "CARNOTFOUND" if the hash does not correspond to any known vehicle model.\n\n```lua\n-- This example prints the manufacturer of the player's current vehicle.\n\n-- Retrieve the player ped.\nlocal playerPed = PlayerPedId()\n\n-- Retrieve the vehicle the player is currently in.\nlocal vehicle = GetVehiclePedIsIn(playerPed, false)\n\n-- If the vehicle does not exist, end the execution of the code here.\nif not DoesEntityExist(vehicle) then \n    return \nend\n\n-- Retrieve the model hash of the vehicle.\nlocal vehicleHash = GetEntityModel(vehicle)\n\n-- Retrieve the manufacturer of the vehicle.\nlocal manufacturer = GetMakeNameFromVehicleModel(vehicleHash)\n\n-- Print the manufacturer of the vehicle.\nprint("Vehicle Manufacturer: " .. manufacturer)\n```
GetMapZoomDataLevel	Returns the zoom level data by index from mapzoomdata.meta file.\n\n**Parameters**\n- `index`: Zoom level index.\n- `zoomScale`: fZoomScale value.\n- `zoomSpeed`: fZoomSpeed value.\n- `scrollSpeed`: fScrollSpeed value.\n- `tilesX`: vTiles X.\n- `tilesY`: vTiles Y.\n\n**Returns** A boolean indicating TRUE if the data was received successfully.
GetMapdataEntityHandle	Retrieves the map data entity handle.\nThis function supports SDK infrastructure and is not intended to be used directly from your code.\n\n**Parameters**\n- `mapDataHash`: A mapdata hash from `mapDataLoaded` event.\n- `entityInternalIdx`: An internal entity's index.\n- `entityHandle`: The output entity handle.\n\n**Returns** True if successful, false if not.
GetMapdataEntityMatrix	Returns mapdata's entity matrix. This function supports SDK infrastructure and is not intended to be used directly from your code.\n\nThis should be used from JavaScript or another language supporting mutable buffers like ArrayBuffer.\n\nMatrix layout is as follows:\n\n*   Element \\[0], \\[1] and \\[2] should represent the right vector.\n*   Element \\[4], \\[5] and \\[6] should represent the forward vector.\n*   Element \\[8], \\[9] and \\[10] should represent the up vector.\n*   Element \\[12], \\[13] and \\[14] should represent X, Y and Z translation coordinates.\n*   All other elements should be \\[0, 0, 0, 1].\n\n**Parameters**\n- `mapDataHash`: A mapdata hash from `mapDataLoaded` event.\n- `entityInternalIdx`: An internal entity's index.\n- `matrixPtr`: A mutable pointer to a 64-byte buffer of floating-point values, representing an XMFLOAT4X4 in layout.\n\n**Returns** Whether or not the matrix was retrieved.
GetMapdataFromHashKey	Returns the transient map data index for a specified hash.\nThis function supports SDK infrastructure and is not intended to be used directly from your code.\n\n**Parameters**\n- `mapdataHandle`: The input map data handle.\n\n**Returns** A transient (non-persistable) index to the requested mapdata, or -1.
GetMaxAmmoInClip	```\np2 is mostly 1 in the scripts.  \n```
GetMaxWantedLevel	```\nGets the maximum wanted level the player can get.  \nRanges from 0 to 5.  \n```
GetMaximumNumberOfCloudPhotos	```\nThis function is hard-coded to always return 96.\n```
GetMaximumNumberOfPhotos	```\nThis function is hard-coded to always return 0.\n```
GetMenuPedBoolStat	```\np0 was always 0xAE2602A3.\n```
GetMillisecondsPerGameMinute	Returns how many real ms are equal to one game minute.\nA getter for [`SetMillisecondsPerGameMinute`](#\\_0x36CA2554).\n\n**Returns** A number of milliseconds that equals to one game minute.
GetModSlotName	\n\n**Parameters**\n- `modType`: Refer to eVehicleModType in [`SET_VEHICLE_MOD`](#\\_0x6AF0636DDEDCB6DD).
GetModTextLabel	```\nReturns the text label of a mod type for a given vehicle  \nUse _GET_LABEL_TEXT to get the part name in the game's language  \n```\n\n**Parameters**\n- `modType`: Refer to eVehicleModType in [`SET_VEHICLE_MOD`](#\\_0x6AF0636DDEDCB6DD).
GetModelDimensions	```\nGets the dimensions of a model.\nCalculate (maximum - minimum) to get the size, in which case, Y will be how long the model is.\nExample from the scripts: MISC::GET_MODEL_DIMENSIONS(ENTITY::GET_ENTITY_MODEL(PLAYER::PLAYER_PED_ID()), &v_1A, &v_17);\n```
GetMount	```\nFunction just returns 0  \nvoid __fastcall ped__get_mount(NativeContext *a1)  \n{  \n  NativeContext *v1; // rbx@1  \n  v1 = a1;  \n  GetAddressOfPedFromScriptHandle(a1->Args->Arg1);  \n  v1->Returns->Item1= 0;  \n}  \n```
GetMusicPlaytime	\n\n**Returns** Returns the play time in milliseconds of the current score track.
GetMusicVolSlider	\n\n**Returns** Returns the current volume slider position from 0 to 10
GetNameOfZone	```\nAIRP = Los Santos International Airport  \nALAMO = Alamo Sea  \nALTA = Alta  \nARMYB = Fort Zancudo  \nBANHAMC = Banham Canyon Dr  \nBANNING = Banning  \nBEACH = Vespucci Beach  \nBHAMCA = Banham Canyon  \nBRADP = Braddock Pass  \nBRADT = Braddock Tunnel  \nBURTON = Burton  \nCALAFB = Calafia Bridge  \nCANNY = Raton Canyon  \nCCREAK = Cassidy Creek  \nCHAMH = Chamberlain Hills  \nCHIL = Vinewood Hills  \nCHU = Chumash  \nCMSW = Chiliad Mountain State Wilderness  \nCYPRE = Cypress Flats  \nDAVIS = Davis  \nDELBE = Del Perro Beach  \nDELPE = Del Perro  \nDELSOL = La Puerta  \nDESRT = Grand Senora Desert  \nDOWNT = Downtown  \nDTVINE = Downtown Vinewood  \nEAST_V = East Vinewood  \nEBURO = El Burro Heights  \nELGORL = El Gordo Lighthouse  \nELYSIAN = Elysian Island  \nGALFISH = Galilee  \nGOLF = GWC and Golfing Society  \nGRAPES = Grapeseed  \nGREATC = Great Chaparral  \nHARMO = Harmony  \nHAWICK = Hawick  \nHORS = Vinewood Racetrack  \nHUMLAB = Humane Labs and Research  \nJAIL = Bolingbroke Penitentiary  \nKOREAT = Little Seoul  \nLACT = Land Act Reservoir  \nLAGO = Lago Zancudo  \nLDAM = Land Act Dam  \nLEGSQU = Legion Square  \nLMESA = La Mesa  \nLOSPUER = La Puerta  \nMIRR = Mirror Park  \nMORN = Morningwood  \nMOVIE = Richards Majestic  \nMTCHIL = Mount Chiliad  \nMTGORDO = Mount Gordo  \nMTJOSE = Mount Josiah  \nMURRI = Murrieta Heights  \nNCHU = North Chumash  \nNOOSE = N.O.O.S.E  \nOCEANA = Pacific Ocean  \nPALCOV = Paleto Cove  \nPALETO = Paleto Bay  \nPALFOR = Paleto Forest  \nPALHIGH = Palomino Highlands  \nPALMPOW = Palmer-Taylor Power Station  \nPBLUFF = Pacific Bluffs  \nPBOX = Pillbox Hill  \nPROCOB = Procopio Beach  \nRANCHO = Rancho  \nRGLEN = Richman Glen  \nRICHM = Richman  \nROCKF = Rockford Hills  \nRTRAK = Redwood Lights Track  \nSANAND = San Andreas  \nSANCHIA = San Chianski Mountain Range  \nSANDY = Sandy Shores  \nSKID = Mission Row  \nSLAB = Stab City  \nSTAD = Maze Bank Arena  \nSTRAW = Strawberry  \nTATAMO = Tataviam Mountains  \nTERMINA = Terminal  \nTEXTI = Textile City  \nTONGVAH = Tongva Hills  \nTONGVAV = Tongva Valley  \nVCANA = Vespucci Canals  \nVESP = Vespucci  \nVINE = Vinewood  \nWINDF = Ron Alternates Wind Farm  \nWVINE = West Vinewood  \nZANCUDO = Zancudo River  \nZP_ORT = Port of South Los Santos  \nZQ_UAR = Davis Quartz  \nPROL = Prologue / North Yankton\nISHeist = Cayo Perico Island\n```
GetNavmeshRouteDistanceRemaining	```\nLooks like the last parameter returns true if the path has been calculated, while the first returns the remaining distance to the end of the path.\nReturn value of native is the same as GET_NAVMESH_ROUTE_RESULT\nLooks like the native returns an int for the path's state:\n1 - ???\n2 - ???\n3 - Finished Generating\n```
GetNavmeshRouteResult	See [`GET_NAVMESH_ROUTE_DISTANCE_REMAINING`](#\\_0xC6F5C0BCDC74D62D) for more details.
GetNetTypeFromEntity	Gets the specific entity type (as an integer), which can be one of the following defined down below:\n\n#### FiveM:\n\n```cpp\nenum eNetObjEntityType\n{\n    Automobile = 0,\n    Bike = 1,\n    Boat = 2,\n    Door = 3,\n    Heli = 4,\n    Object = 5,\n    Ped = 6,\n    Pickup = 7,\n    PickupPlacement = 8,\n    Plane = 9,\n    Submarine = 10,\n    Player = 11,\n    Trailer = 12,\n    Train = 13\n};\n```\n\n#### RedM:\n\n```cpp\nenum eNetObjEntityType\n{\n    Animal = 0,\n    Automobile = 1,\n    Bike = 2,\n    Boat = 3,\n    Door = 4,\n    Heli = 5,\n    Object = 6,\n    Ped = 7,\n    Pickup = 8,\n    PickupPlacement = 9,\n    Plane = 10,\n    Submarine = 11,\n    Player = 12,\n    Trailer = 13,\n    Train = 14,\n    DraftVeh = 15,\n    StatsTracker = 16,\n    PropSet = 17,\n    AnimScene = 18,\n    GroupScenario = 19,\n    Herd = 20,\n    Horse = 21,\n    WorldState = 22,\n    WorldProjectile = 23,\n    Incident = 24,\n    Guardzone = 25,\n    PedGroup = 26,\n    CombatDirector = 27,\n    PedSharedTargeting = 28,\n    Persistent = 29\n};\n```\n\n**Parameters**\n- `entity`: The entity to get the specific type of.\n\n**Returns** The specific entity type returned as an integer value or -1 if the entity is invalid.
GetNetworkIdFromSoundId	\n\n**Returns** Returns the network id for the specific sound
GetNetworkTime	\n\n**Returns** Returns the network time this tick, if you want a tick-agnostic version use [`GetNetworkTimeAccurate`](#\\_0x89023FBBF9200E9F).\n\n```lua\nprint(GetNetworkTime())\n```
GetNetworkTimeAccurate	Returns the same value as [`GetNetworkTime`](#\\_0x7A5487FE9FAA6B48) in freemode, but as opposed to `GetNetworkTime` it always gets the most recent time, instead of once per tick.\n\nCould be used for benchmarking since it can return times in ticks.\n\n**Returns** Returns the network time as an integer
GetNextAudibleBeat	\n\n**Parameters**\n- `timeInSeconds`: time in seconds until the start of the next beat\n- `bpm`: current tempo in beats per minute,\n- `beatNum`: integer beat within the bar\n\n**Returns** Returns information on beat information for any audible music.
GetNextBlipInfoId	\n\n**Parameters**\n- `blipSprite`: Sprite ID, see the [Game Reference](https://docs.fivem.net/docs/game-references/blips/) for the full list.\n\n**Returns** Returns the next blip ID in an interator that has the specified blip sprite.\n\n```lua\nfunction GetAllBlipsWithSprite(blip_sprite)\n  local current_blip = GetFirstBlipInfoId(blip_sprite)\n  local blips_array = {}\n\n  if not DoesBlipExist(current_blip) then \n    print('there are no blips with this sprite set') \n    return blips_array \n  end\n\n  while DoesBlipExist(current_blip) do\n    table.insert(blips_array, current_blip)\n    current_blip = GetNextBlipInfoId(blip_sprite)\n  end\n\n  return blips_array\nend\n```
GetNextGpsDisabledZoneIndex	Gets the next zone that has been disabled using SET_GPS_DISABLED_ZONE_AT_INDEX.\n\n```\nNativeDB Removed Parameter 1: int index\n```\n\n**Returns** The disabled zone index
GetNextWeatherTypeHashName	Refer to [`SET_WEATHER_TYPE_NOW_PERSIST`](#\\_0xED712CA327900C8A) for weather types.
GetNgstatBoolHash	```\nNeeds more research. Gets the stat name of a masked bool?\nsection - values used in the decompiled scripts:\n"_NGPSTAT_BOOL"\n"_NGTATPSTAT_BOOL"\n"_NGDLCPSTAT_BOOL"\n"_DLCBIKEPSTAT_BOOL"\n"_DLCGUNPSTAT_BOOL"\n"_GUNTATPSTAT_BOOL"\n"_DLCSMUGCHARPSTAT_BOOL"\n"_GANGOPSPSTAT_BOOL"\n"_BUSINESSBATPSTAT_BOOL"\n"_ARENAWARSPSTAT_BOOL"\n"_CASINOPSTAT_BOOL"\n"_CASINOHSTPSTAT_BOOL"\n"_HEIST3TATTOOSTAT_BOOL"\n```
GetNgstatIntHash	```\nNeeds more research. Gets the stat name of a masked int?\nsection - values used in the decompiled scripts:\n"_NGPSTAT_INT"\n"_MP_NGPSTAT_INT"\n"_MP_LRPSTAT_INT"\n"_MP_APAPSTAT_INT"\n"_MP_LR2PSTAT_INT"\n"_MP_BIKEPSTAT_INT"\n"_MP_IMPEXPPSTAT_INT"\n"_MP_GUNRPSTAT_INT"\n"_NGDLCPSTAT_INT"\n"_MP_NGDLCPSTAT_INT"\n"_DLCSMUGCHARPSTAT_INT"\n"_GANGOPSPSTAT_INT"\n"_BUSINESSBATPSTAT_INT"\n"_ARENAWARSPSTAT_INT"\n"_CASINOPSTAT_INT"\n"_CASINOHSTPSTAT_INT"\n```
GetNthClosestVehicleNodeFavourDirection	```\nSee gtaforums.com/topic/843561-pathfind-node-types for node type info. 0 = paved road only, 1 = any road, 3 = water  \np10 always equal 0x40400000  \np11 always equal 0  \n```
GetNthClosestVehicleNodeId	```\nReturns the id.  \n```
GetNthClosestVehicleNodeWithHeading	Get the nth closest vehicle node with its heading and total lane count.\nIf you need specific forward and backward lane counts use [GET_CLOSEST_ROAD](#\\_0x132F52BBA570FE92)\n\n```cpp\nenum eNodeFlags {\n NONE = 0,\n INCLUDE_SWITCHED_OFF_NODES = 1,\n INCLUDE_BOAT_NODES = 2,\n IGNORE_SLIPLANES = 4,\n IGNORE_SWITCHED_OFF_DEAD_ENDS = 8,\n}\n```\n\n**Parameters**\n- `x`: x position\n- `y`: y position\n- `z`: z position\n- `nthClosest`: nth closest node\n- `outPosition`: returned position of the found node\n- `heading`: returned heading of the found node\n- `totalLanes`: total lanes (forward + backward) of the found node\n- `searchFlags`: Flags used when searching for a node, see `eNodeFlags`\n- `zMeasureMult`: How strongly the difference in z direction should be weighted (defaults to 3.0)\n- `zTolerance`: How far apart the Z coords have to be before the zMeasureMult kicks in\n\n**Returns** Returns `true` if the node was found, or `false` if the node was not found, or was not streamed in.
GetNumDlcVehicles	Returns the total number of DLC vehicles.
GetNumDlcWeaponComponents	```\nReturns the total number of DLC weapon components.\n```
GetNumDlcWeaponComponentsSp	Returns the total number of DLC weapon components that are available in SP.\n\n```\nNativeDB Introduced: v2060\n```
GetNumDlcWeapons	```\nReturns the total number of DLC weapons.\n```
GetNumDlcWeaponsSp	Returns the total number of DLC weapons that are available in SP (availableInSP field in shop_weapon.meta).\n\n```\nNativeDB Introduced: v2060\n```
GetNumHairColors	```\nUsed for freemode (online) characters.  \n```
GetNumModColors	```\npaintType:\n0: Normal\n1: Metallic\n2: Pearl\n3: Matte\n4: Metal\n5: Chrome\n```
GetNumNavmeshesExistingInArea	\n\n**Parameters**\n- `posMinX`: Min X Coordinate.\n- `posMinY`: Min Y Coordinate.\n- `posMinZ`: Min Z Coordinate.\n- `posMaxX`: Max X Coordinate.\n- `posMaxY`: Max Y Coordinate.\n- `posMaxZ`: Max Z Coordinate.\n\n**Returns** Returns the number of navmeshes which exist in the given area (irrespective of whether they are currently loaded or not)
GetNumReservedMissionObjects	```\np0 appears to be for MP  \n```\n\n```\nNativeDB Added Parameter 2: Any p1\n```
GetNumReservedMissionPeds	```\np0 appears to be for MP  \n```\n\n```\nNativeDB Added Parameter 2: Any p1\n```
GetNumReservedMissionVehicles	```\np0 appears to be for MP  \n```\n\n```\nNativeDB Added Parameter 2: Any p1\n```
GetNumResourceMetadata	Gets the amount of metadata values with the specified key existing in the specified resource's manifest.\nSee also: [Resource manifest](https://docs.fivem.net/docs/scripting-reference/resource-manifest/)\n\n**Parameters**\n- `resourceName`: The resource name.\n- `metadataKey`: The key to look up in the resource manifest.
GetNumTattooShopDlcItems	```\nCharacter types:\n0 = Michael,\n1 = Franklin,\n2 = Trevor,\n3 = MPMale,\n4 = MPFemale\n```
GetNumUnlockedRadioStations	\n\n**Returns** Returns the number of radio stations currently unlocked in the game. This can change as a result of DLC and/or script calls.
GetNumVehicleMods	```\nReturns how many possible mods a vehicle has for a given mod type  \n```\n\n**Parameters**\n- `modType`: Refer to eVehicleModType in [`SET_VEHICLE_MOD`](#\\_0x6AF0636DDEDCB6DD).
GetNumberOfEvents	```\neventGroup: 0 = SCRIPT_EVENT_QUEUE_AI (CEventGroupScriptAI), 1 = SCRIPT_EVENT_QUEUE_NETWORK (CEventGroupScriptNetwork)\n```
GetNumberOfPedCollectionDrawableVariations	An analogue of [GET_NUMBER_OF_PED_DRAWABLE_VARIATIONS](#\\_0x27561561732A7842) that returns number of drawable variations inside a single collection instead of the total number across all collections.\n\n**Parameters**\n- `ped`: The target ped\n- `componentId`: One of the components from [SET_PED_COMPONENT_VARIATION](#\\_0x262B14F48D29DE80)\n- `collection`: Name of the collection. Empty string for the base game collection. See [GET_PED_COLLECTION_NAME](#\\_0xFED5D83A) in order to list all available collections.\n\n**Returns** Number of drawables available in the given collection. Returns 0 if ped or collection does not exist.
GetNumberOfPedCollectionPropDrawableVariations	An analogue of [GET_NUMBER_OF_PED_PROP_DRAWABLE_VARIATIONS](#\\_0x5FAF9754E789FB47) that returns number of prop variations inside a single collection instead of the total number across all collections.\n\n**Parameters**\n- `ped`: The target ped\n- `anchorPoint`: One of the anchor points from [SET_PED_PROP_INDEX](#\\_0x93376B65A266EB5F)\n- `collection`: Name of the collection. Empty string for the base game collection. See [GET_PED_COLLECTION_NAME](#\\_0xFED5D83A) in order to list all available collections.\n\n**Returns** Number of props available in the given collection. Returns 0 if ped or collection does not exist.
GetNumberOfPedCollectionPropTextureVariations	An alternative to [GET_NUMBER_OF_PED_PROP_TEXTURE_VARIATIONS](#\\_0xA6E7F1CEB523E171) that uses local collection indexing instead of the global one.\n\n**Parameters**\n- `ped`: The target ped\n- `anchorPoint`: One of the anchor points from [SET_PED_PROP_INDEX](#\\_0x93376B65A266EB5F)\n- `collection`: Name of the collection. Empty string for the base game collection. See [GET_PED_COLLECTION_NAME](#\\_0xFED5D83A) in order to list all available collections.\n- `propIndex`: Local prop index inside the given collection. Refer to [GET_NUMBER_OF_PED_COLLECTION_PROP_DRAWABLE_VARIATIONS](#\\_0x3B6A13E1).\n\n**Returns** Number of texture variations available for the given prop. Returns 0 if ped or collection does not exist or index is out of bounds.
GetNumberOfPedCollectionTextureVariations	An alternative to [GET_NUMBER_OF_PED_TEXTURE_VARIATIONS](#\\_0x8F7156A3142A6BAD) that uses local collection indexing instead of the global one.\n\n**Parameters**\n- `ped`: The target ped\n- `componentId`: One of the components from [SET_PED_COMPONENT_VARIATION](#\\_0x262B14F48D29DE80)\n- `collection`: Name of the collection. Empty string for the base game collection. See [GET_PED_COLLECTION_NAME](#\\_0xFED5D83A) in order to list all available collections.\n- `drawableId`: Local drawable Id inside the given collection. Refer to [GET_NUMBER_OF_PED_COLLECTION_DRAWABLE_VARIATIONS](#\\_0x310D0271).\n\n**Returns** Number of texture variations available for the given drawable component. Returns 0 if ped or collection does not exist or index is out of bounds.
GetNumberOfPedDrawableVariations	\n\n**Parameters**\n- `ped`: The ped handle.\n- `componentId`: The component id you want to get the drawable variatons of. Refer to [SET_PED_COMPONENT_VARIATION](#\\_0x262B14F48D29DE80)
GetNumberOfPedPropDrawableVariations	\n\n**Parameters**\n- `ped`: The ped handle.\n- `propId`: The prop id you want to get the drawable variations of. Refer to [SET_PED_PROP_INDEX](#\\_0x93376B65A266EB5F)
GetNumberOfPedPropTextureVariations	```\nNeed to check behavior when drawableId = -1\n```\n\n**Parameters**\n- `ped`: The ped handle.\n- `propId`: The prop id you want to get the texture variations of. Refer to [SET_PED_PROP_INDEX](#\\_0x93376B65A266EB5F)\n- `drawableId`: The drawable id of the prop you want to get the texture variations of. Refer to [GET_NUMBER_OF_PED_PROP_DRAWABLE_VARIATIONS](#\\_0x5FAF9754E789FB47).
GetNumberOfPedTextureVariations	\n\n**Parameters**\n- `ped`: The ped handle.\n- `componentId`: The component id you want to get the texture variations of. Refer to [SET_PED_COMPONENT_VARIATION](#\\_0x262B14F48D29DE80).\n- `drawableId`: The drawable id of the component you want to get the texture variations of. Refer to [GET_NUMBER_OF_PED_PROP_DRAWABLE_VARIATIONS](#\\_0x5FAF9754E789FB47).
GetNumberOfPlayers	```\nGets the number of players in the current session.\nIf not multiplayer, always returns 1.\n```
GetNumberOfPlayersInTeam	```\nNativeDB Introduced: v1180\n```
GetNumberOfReferencesOfScriptWithNameHash	```\nGets the number of instances of the specified script is currently running.\nActually returns numRefs - 1.\nif (program)\n v3 = rage::scrProgram::GetNumRefs(program) - 1;\nreturn v3;\n```
GetNumberOfVehicleColours	```\nActually number of color combinations  \n```
GetNumberOfVehicleNumberPlates	```\nReturns the number of *types* of licence plates, enumerated below in SET_VEHICLE_NUMBER_PLATE_TEXT_INDEX.  \n```
GetObjectIndexFromEntityIndex	```\nSimply returns whatever is passed to it (Regardless of whether the handle is valid or not).  \n```
GetOffsetFromCoordAndHeadingInWorldCoords	Calculates the world coordinates after applying the specified offsets to the given position, relative to a certain heading.\nThis native is similar to [`GET_OFFSET_FROM_ENTITY_IN_WORLD_COORDS`](#\\_0x1899F328B0E12848), but uses a world position and heading as the reference point.\n\n**Parameters**\n- `xPos`: The X coordinate of the original position.\n- `yPos`: The Y coordinate of the original position.\n- `zPos`: The Z coordinate of the original position.\n- `heading`: The heading (in degrees) relative to which the offsets are applied.\n- `xOffset`: Left/right offset from the coord.\n- `yOffset`: Forward/backward offset from the coord.\n- `zOffset`: Upward/downward offset from the coord.\n\n**Returns** Returns a Vector3 representing the new world coordinates after applying the offsets to the original position relative to the specified heading.
GetOffsetFromEntityGivenWorldCoords	```\nConverts world coords (posX - Z) to coords relative to the entity  \nExample:  \nposX = 50  \nposY = 1000  \nposZ = 60  \nEntity's coords are: x=30, y=1000, z=60.  \nAll three returned coords will then be in range of [-20,20] depending on rotation of the entity.  \n```
GetOffsetFromEntityInWorldCoords	```\nOffset values are relative to the entity.  \nx = left/right  \ny = forward/backward  \nz = up/down  \n```
GetOnlineVersion	```\nOnline version is defined here: update\\update.rpf\\common\\data\\version.txt\nExample:\n[ONLINE_VERSION_NUMBER]\n1.33\n_GET_ONLINE_VERSION() will return "1.33"\n```
GetOnscreenKeyboardResult	```\nReturns NULL unless UPDATE_ONSCREEN_KEYBOARD() returns 1 in the same tick.  \n```
GetParkedVehicleDensityMultiplier	A getter for [SET_PARKED_VEHICLE_DENSITY_MULTIPLIER_THIS_FRAME](#\\_0xEAE6DCC7EEE3DB1D).\n\n**Returns** Returns parked vehicle density multiplier value.
GetPauseMapPointerWorldPosition	Returns the world position the pointer is hovering on the pause map.\n\n**Returns** A Vector3 with the pause map pointer world position X and Y values.
GetPauseMenuCursorPosition	Name between `GET_ONSCREEN_KEYBOARD_RESULT` and `GET_PAUSE_MENU_STATE`. Likely, `GET_PAUSE_MENU_*`.\n\n**Returns** If the pause menu is open, it will return a Vector3, Z is always 0.\nIf the pause menu is closed, it will return Vector3.Zero
GetPauseMenuSelectionData	```\nlastItemMenuId: this is the menuID of the last selected item minus 1000 (lastItem.menuID - 1000)\nselectedItemMenuId: same as lastItemMenuId except for the currently selected menu item\nselectedItemUniqueId: this is uniqueID of the currently selected menu item\nwhen the pausemenu is closed:\nlastItemMenuId = -1\nselectedItemMenuId = -1\nselectedItemUniqueId = 0\nwhen the header gains focus:\nlastItemMenuId updates as normal or 0 if the pausemenu was just opened\nselectedItemMenuId becomes a unique id for the pausemenu page that focus was taken from (?) or 0 if the pausemenu was just opened\nselectedItemUniqueId = -1\nwhen focus is moved from the header to a pausemenu page:\nlastItemMenuId becomes a unique id for the pausemenu page that focus was moved to (?)\nselectedItemMenuId = -1\nselectedItemUniqueId updates as normal\n```
GetPauseMenuState	```cpp\nenum ePauseMenuState\n{\n    PM_INACTIVE   =  0,\n    PM_STARTING_UP   =  5,\n    PM_RESTARTING   = 10,\n    PM_READY    = 15,\n    PM_IN_STORE   = 20,\n    PM_IN_SC_MENU   = 25,\n    PM_SHUTTING_DOWN = 30,\n    PM_IN_VIDEOEDITOR = 35,\n}\n```
GetPedAlertness	```\nReturns the ped's alertness (0-3).  \nValues :   \n0 : Neutral  \n1 : Heard something (gun shot, hit, etc)  \n2 : Knows (the origin of the event)  \n3 : Fully alerted (is facing the event?)  \nIf the Ped does not exist, returns -1.  \n```
GetPedAmmoTypeFromWeapon	```\nReturns the current ammo type of the specified ped's specified weapon.\n\nMkII magazines will change the return value, like Pistol MkII returning AMMO_PISTOL without any components and returning AMMO_PISTOL_TRACER after Tracer Rounds component is attached.\n\nUse 0xF489B44DD5AF4BD9 if you always want AMMO_PISTOL.\n```
GetPedAmmoTypeFromWeapon_2	```\nReturns the base/default ammo type of the specified ped's specified weapon.\n\nUse GET_PED_AMMO_TYPE_FROM_WEAPON if you want current ammo type (like AMMO_MG_INCENDIARY/AMMO_MG_TRACER while using MkII magazines) and use this if you want base ammo type. (AMMO_MG)\n```
GetPedAsGroupMember	```\nfrom fm_mission_controller.c4 (variable names changed for clarity):  \nint groupID = PLAYER::GET_PLAYER_GROUP(PLAYER::PLAYER_ID());  \nPED::GET_GROUP_SIZE(group, &unused, &groupSize);  \nif (groupSize >= 1) {  \n. . . . for (int memberNumber = 0; memberNumber < groupSize; memberNumber++) {  \n. . . . . . . . Ped ped1 = PED::GET_PED_AS_GROUP_MEMBER(groupID, memberNumber);  \n. . . . . . . . //and so on  \n```
GetPedBoneCoords	```\nGets the position of the specified bone of the specified ped.  \nped: The ped to get the position of a bone from.  \nboneId: The ID of the bone to get the position from. This is NOT the index.  \noffsetX: The X-component of the offset to add to the position relative to the bone's rotation.  \noffsetY: The Y-component of the offset to add to the position relative to the bone's rotation.  \noffsetZ: The Z-component of the offset to add to the position relative to the bone's rotation.  \n```
